tweet_id,search_lang,detected_lang,keyword,display_name,handle,date,text
1652816212038959105,en,unknown,"""Agentic AI"" or ""AI agents""",Tyler Donahue,bytylerd,2023-04-30T23:24:27.000Z,"Leaving you with this. We are in 2025, and every human has an army of AI agents executing tasks on their behalf. 90% of what was once done on a computer by humans can now be accomplished with AI agents in a tiny fraction of the time and expense.

What will you be doing?"
1652802194838781952,en,unknown,"""Agentic AI"" or ""AI agents""",Pascallisp,pascallisp,2023-04-30T22:28:45.000Z,"Until AI agents become fully autonomous to do it all, as long as there is human intervention involved, the creative, innovative, ambitious, intelligent will produce better products."
1652771363868778498,en,unknown,"""Agentic AI"" or ""AI agents""",Ameerah Kabir,Thecyberiann,2023-04-30T20:26:14.000Z,"Mark Zuckerberg says Meta wants to ‘introduce AI agents to billions of people. 26th April.
Mark Zuckerberg announced during Meta's earnings call that the company plans to introduce AI agents to billions of people through its various apps."
1652770776737513473,en,unknown,"""Agentic AI"" or ""AI agents""",DwarvenPolitics,DwarvenPolitics,2023-04-30T20:23:54.000Z,"They're transitions to what comes next.
When it gets to that point (or frankly now) I'd argue the ownership of those industries should be given back to the people. If AI agents manage those industries, there'd be no justification for allowing a small owner-class to monopolize it."
1652765916906807297,en,unknown,"""Agentic AI"" or ""AI agents""",jeantnd.eth,jeantnd,2023-04-30T20:04:36.000Z,"Create your first AutoGPT agent with Promptman.

New feature added - AI AGENTS with a flowchart UI. focus only what matters.

As promised, more feat. coming DM me for feat roadmap!
@_buildspace
 @_nightsweekends
 @FarzaTV
 @alec_dilanchian"
1652765703378976768,en,unknown,"""Agentic AI"" or ""AI agents""",Craig Vachon [son of immigrants],c_ster,2023-04-30T20:03:45.000Z,"When 
@AI_Redefined
 (AIR) talks about ""adding context"" via RLHF to AI agents, this research documents the value:

""We found that LLMs trained with Reinforcement Learning from Human Feedback (#RLHF ) improved their #ToM (Theory of Mind or the understanding of users' beliefs, goals,"
1652765696533884928,en,unknown,"""Agentic AI"" or ""AI agents""","b/acc, context platform engineer",AccBalanced,2023-04-30T20:03:43.000Z,"There's a massive opportunity in between GPT4-level tech and AGI --> AI Agents such as AutoGPT. 

New AI tech stack emerging:
1. foundational models (the new CPU)
2. agents (the new OS/Kubernetes)
3. apps (the value at end of this chain)

OpenAI And Google lead #1, but not 2, 3"
1652761844090654720,en,unknown,"""Agentic AI"" or ""AI agents""",erdal,erdal38710917,2023-04-30T19:48:25.000Z,"Shockwaves #AI Agents are getting ready for the battles to compete and earn even while you sleep!

Listing for $NEUROS will take place on May 1st!"
1652746416073199619,en,unknown,"""Agentic AI"" or ""AI agents""",Murad,MustStopMurad,2023-04-30T18:47:06.000Z,It’s inevitable that there will be more humans in love with AI agents than humans in love with other humans
1652745750533619713,en,unknown,"""Agentic AI"" or ""AI agents""",Olaudah Equiano®,RealOlaudah,2023-04-30T18:44:28.000Z,"Mark Zuckerberg is hyper-focused on generative AI, and is stewarding Meta towards harnessing its power.

According to Zuck, Meta sees “an opportunity to introduce AI agents to billions of people in ways that will be useful and meaningful.""

Zuck went on to say that generative AI"
1652745130166693889,en,unknown,"""Agentic AI"" or ""AI agents""",Nathan Roberts,nathanworks,2023-04-30T18:42:00.000Z,"Mark Zuckerberg says Meta wants to “introduce AI agents to billions of people” 
theverge.com/2023/4/26/2369
… via 
@Verge
 | In other words, he has a way to suck you deeper into his world. No thanks."
