tweet_id,search_lang,detected_lang,keyword,display_name,handle,date,text
1845612198250618903,zh,unknown,“代理式人工智能” or “人工智能代理”,常为希 ｜AI之道,CryptoYunqi,2024-10-13T23:46:52.000Z,"$TAO 不仅仅是一个去中心化的智能市场，更是颠覆传统盈利模式的先锋。打破了人工智能开发的界限，通过集体智慧共享，极大地扩展了创新的带宽。
集中式AI：工作是孤立的，非协作的。模型是孤立的，无法相互分享知识。
去中心化AI：
开源去中心化协议，基于区块链的机器学习网络。激励模型"
1845492614298227058,zh,unknown,“代理式人工智能” or “人工智能代理”,安小柒,anxiaoqi51,2024-10-13T15:51:41.000Z,"分享一个AI项目 
@SkyCastleAI
它是由人工智能驱动，拥有独一无二个性特征的交互式虚拟伴侣

现在完成任务，有机会获得免费Mint白名单资格！  
任务链接：
skycastle.ai/quests?r=anxia
…

撸毛要趁早~ Let's go ~"
1845482176567296372,zh,unknown,“代理式人工智能” or “人工智能代理”,6小时财经快讯,sixhourfinance,2024-10-13T15:10:12.000Z,谷歌在反垄断辩护中强调人工智能的蓬勃发展和竞争加剧，认为政府提出的拆分方案忽视了技术进步和新的搜索模式。
1845468591787057478,zh,unknown,“代理式人工智能” or “人工智能代理”,RichChat,richardchang,2024-10-13T14:16:14.000Z,"深度解析刚出炉的年度AI报告State of AI 2024：一篇通晓全局

本文总结自Air Street Capital 在10月10日推出的《2024年 人工智能状况报告》，也附上了一些个人点评；

4个方面的核心发现：

研究/Research
- 性能趋同： Open"
1845468001455452372,zh,unknown,“代理式人工智能” or “人工智能代理”,Alexandros Lee,AlexandrosLee1,2024-10-13T14:13:53.000Z,"【人工智能】OpenAI推出新功能界面Canvas | 提升写作和编码效率 | 自动唤醒界面 | 迭代式修改 | Claude Artifact... 
youtu.be/c2NVRMJCQSc?si
… 來自 
@YouTube"
1845437253868453933,zh,unknown,“代理式人工智能” or “人工智能代理”,@jiamimao 大猫叔叔,jiamimaodashu,2024-10-13T12:11:42.000Z,"为什么再一次改变世界的是特斯拉而非苹果？

确切的说为什么是马斯克而非库克？

自从乔布斯离开这个星球后，你再去看苹果的发布会，还有多少人能够怀抱一颗期待的心去看呢？"
1845436935172653251,zh,unknown,“代理式人工智能” or “人工智能代理”,Tw93,HiTw93,2024-10-13T12:10:26.000Z,"#潮流周刊 第 195 期 - BELLOCO 来咯，一家好吃的韩式料理。
本期看看 Bio Link 自部署、在浏览器里用 AI 驱动的全栈 Web 开发、Anthropic CEO 说的人工智能对人类的积极影响、全域用户建模在美团首页推荐的探索与实践等。"
1845342972033781839,zh,unknown,“代理式人工智能” or “人工智能代理”,BlueLotus,ethhcn,2024-10-13T05:57:04.000Z,"#Evolv Technology 是一种人工智能非接触式安检系统，利用数字传感器和人工智能检测威胁。 #ChatGPT #NeuralNetworks 
evolvtechnology.com"
1845290792967098652,zh,unknown,“代理式人工智能” or “人工智能代理”,XTrader猫姐美股交易,maojietrading,2024-10-13T02:29:43.000Z,"周末阅读，交易是复杂系统高层级降熵，因而能达到极度愉悦的心流状态。

“同样是降熵过程，把一个碳原子和两个氧原子合成为一个二氧化碳分子，比不上把12个水分子和6个二氧化碳分子合成为一个葡萄糖分子，前者只要一把山火就能做到，后者却需要植物来进行。"
1845284621254263050,zh,unknown,“代理式人工智能” or “人工智能代理”,Tangerine 思思,ssiYinggg,2024-10-13T02:05:12.000Z,"DC邀请链接秒光这到底是个什么项目?!
@SkyCastleAI
  是一个由人工智能驱动的,具有个性特征的交互式虚拟伴侣.

保证白名单5
转评赞+关注 
@SkyCastleAI
 、
@tangerinenft
 、
@ssiYinggg
48H

新的DC邀请链接(这次用完就不知道啥时候再有了):
discord.gg/cwyvMzjR"
1845253137533190233,zh,unknown,“代理式人工智能” or “人工智能代理”,Browny,brownylin,2024-10-13T00:00:05.000Z,"人工智能和人類思維的本質：探索 Transformer 的多維空間

① Transformer的本質：

這些模型不僅僅是預測下一個標記，而是在構建現實的表徵。
任何良好定義的問題都等同於「預測答案的下一個標記」。

② AI 的多維空間概念：

我們向 AI"
1845225019724763642,zh,unknown,“代理式人工智能” or “人工智能代理”,Fairice,yibingsg,2024-10-12T22:08:21.000Z,清华大学教授刘嘉近日在采访中提出，AI超越人类智力只是时间问题，预计5至6年内或许就会出现。他指出，中国AI发展虽具备人才和教育资源，但与美国相比仍有差距，问题的根源在于学术界的文化与信仰。
1845221432072208580,zh,unknown,“代理式人工智能” or “人工智能代理”,GPTDAOCN-e/acc,GPTDAOCN,2024-10-12T21:54:06.000Z,"解锁未来：强大AI如何重塑人类命运，迈向150岁寿命的新纪元！

在2024年10月11日，Anthropic的首席执行官Dario"
1845190462598218109,zh,unknown,“代理式人工智能” or “人工智能代理”,岬菮町,JGDburger,2024-10-12T19:51:02.000Z,"#RGB++ Ecosystem Key Focus Project Introduction (2024.10)

In August, Seal released a list of projects within the ecosystem that are worth paying special attention to. Two months later, we're doing an Update, selecting projects that Baozi is relatively familiar with, have active  Nervos #CKB 生态项目盘点！这些重磅项目都备受关注中：

 SEAL - RGB++ Layer 上的首个资产代币与 Launchpad 平台
 Stable++ - 基于 BTC 和 CKB 的去中心化稳定币
 Nervape - 基于比特币的链游和数字藏品项目"
1845158257528131622,zh,unknown,“代理式人工智能” or “人工智能代理”,Blue lotus,wxmcan,2024-10-12T17:43:04.000Z,"Coveo总融资$355M，主要投资人：#Fonds de solidarité FTQ, #Access Capital, #BDC Venture Capital, #Investissement Quebec, #BDC Capital Corporation。#Coveo 是一个用于高级搜索、个性化和推荐的人工智能搜索和生成式体验平台。"
1845119787736891752,zh,unknown,“代理式人工智能” or “人工智能代理”,@jiamimao 大猫叔叔,jiamimaodashu,2024-10-12T15:10:12.000Z,"为什么再一次改变世界的是特斯拉而非苹果？

确切的说为什么是马斯克而非库克？"
1845117251340419109,zh,unknown,“代理式人工智能” or “人工智能代理”,InvesTruth,investruthcom,2024-10-12T15:00:07.000Z,"Prime Intellect顛覆傳統，推動開放AI訓練模式
#INTELLECT1 #PrimeIntellectAI #去中心化 #人工智能
 
investruth.com/marketnews/new
…"
1845112960575828404,zh,unknown,“代理式人工智能” or “人工智能代理”,Blue lotus,wxmcan,2024-10-12T14:43:04.000Z,"Fireworks AI总融资$77M，主要投资人：#NVIDIA, #MongoDB, #Sequoia Capital, #AMD, #Benchmark。#Fireworks AI 为开发和部署生成式人工智能模型提供了先进的工具。 
fireworks.ai"
